sample_name	virus	seqlen	mapped	chim_reads	n_bases_covered	frac_covered	tumor_or_normal	tissue_id	DOI	sample_read_count	mapped_rpm
IC257	HPV18	7857	4	0	369	0.047	Tumor	Anal	10.3390/cancers11121846	73740	54.24464334147
IC135	HPV16	7906	1444761	5696	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	1034876.44969346
IC135	HPV35	7879	46	0	3901	0.495	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	32.949613594151
IC135	HPV18	7857	35	0	3143	0.4	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	25.0703581694627
IC135	HPV31	7912	6	0	647	0.082	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	4.29777568619361
IC135	HPV67	7801	8	0	495	0.063	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	5.73036758159148
IC135	HPV33	7909	5	0	347	0.044	Tumor	Cervical	10.1038/s41416-020-01153-4	1396071	3.58147973849468
IC339	HPV16	7906	36141	624	7907	1	Tumor	Anal	10.3390/cancers11121846	89347	404501.550135987
IC339	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	238	0	7138	0.903	Tumor	Anal	10.3390/cancers11121846	89347	2663.77158718256
IC339	HPV6	7996	168	0	7070	0.884	Tumor	Anal	10.3390/cancers11121846	89347	1880.30935565828
IC339	HPV68	7822	1	0	47	0.006	Tumor	Anal	10.3390/cancers11121846	89347	11.192317593204
IC031	HPV16	7906	117	0	5662	0.716	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	3356.4748407826
IC031	HPV33	7909	2941	69	5468	0.691	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	84370.8761259969
IC031	HPV52	7942	32	0	3083	0.388	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	918.010212863618
IC031	HPV31	7912	13	0	1169	0.148	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	372.941648975845
IC031	HPV35	7879	4	0	368	0.047	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	114.751276607952
IC031	HPV39	7833	2	0	216	0.028	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	57.3756383039761
IC031	HPV18	7857	2	0	183	0.023	Tumor	Cervical	10.1038/s41416-020-01153-4	34858	57.3756383039761
IC088	HPV16	7906	12137	76	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	15564	779812.387561038
IC088	HPV59	7896	2414	26	2778	0.352	Tumor	Cervical	10.1038/s41416-020-01153-4	15564	155101.516319712
IC248	HPV16	7906	337882	807	7907	1	Tumor	Anal	10.3390/cancers11121846	288724	1170259.48656849
IC248	HPV6	7996	29	0	2349	0.294	Tumor	Anal	10.3390/cancers11121846	288724	100.441944556047
IC248	NC_001355_7902nt_Human_papillomavirus_type_6b	7902	20	0	2209	0.28	Tumor	Anal	10.3390/cancers11121846	288724	69.270306590377
IC248	HPV18	7857	8	0	837	0.107	Tumor	Anal	10.3390/cancers11121846	288724	27.7081226361508
IC248	HPV31	7912	3	0	391	0.049	Tumor	Anal	10.3390/cancers11121846	288724	10.3905459885565
IC140	HPV16	7906	4465	93	7859	0.994	Tumor	Anal	10.3390/cancers11121846	32753	136323.390223796
IC140	HPV35	7879	14	0	1735	0.22	Tumor	Anal	10.3390/cancers11121846	32753	427.441761060056
IC140	HPV18	7857	7	0	826	0.105	Tumor	Anal	10.3390/cancers11121846	32753	213.720880530028
IC140	HPV33	7909	2	0	160	0.02	Tumor	Anal	10.3390/cancers11121846	32753	61.0631087228651
IC284	HPV16	7906	2854	0	7907	1	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	17332.7907979521
IC284	HPV59	7896	38836	1141	6902	0.874	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	235857.135048798
IC284	HPV31	7912	26	0	2566	0.324	Tumor	Cervical	10.1038/s41416-020-01153-4	164659	157.902088558779
