Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Aug 16 00:32:42	Aug 16 00:42:41	Aug 16 01:26:40	105.04	77000229	202	71060111	92.29%	200.03	40402460	39769078	39984399	327531	49199	41331	0.56%	0.01%	1.70	0.01%	1.54	2256170	2.93%	27063	0.04%	23866	0.03%	3622194	4.70%	10825	0.01%	0	0.00%
Aug 16 01:18:16	Aug 16 01:26:38	Aug 16 02:30:00	92.76	97965754	202	85225678	87.00%	199.98	54851470	54070575	54308174	429449	63971	49876	0.49%	0.00%	1.39	0.01%	1.55	4994606	5.10%	17507	0.02%	65417	0.07%	7645515	7.80%	17031	0.02%	0	0.00%
Aug 15 21:34:42	Aug 15 21:45:19	Aug 15 22:26:09	102.35	69658134	202	63058419	90.53%	199.95	35574999	34921745	35211758	284142	44054	35045	0.55%	0.01%	1.66	0.01%	1.59	1796005	2.58%	18101	0.03%	38905	0.06%	4732305	6.79%	14399	0.02%	0	0.00%
Aug 16 01:20:16	Aug 16 01:28:19	Aug 16 02:44:17	84.66	107193140	202	89549364	83.54%	195.66	54941190	53981472	54393412	425366	67266	55146	1.03%	0.00%	1.54	0.00%	1.55	4100438	3.83%	21882	0.02%	240637	0.22%	13265102	12.37%	15717	0.01%	0	0.00%
Aug 16 02:12:09	Aug 16 02:20:21	Aug 16 03:39:32	81.96	108160069	202	78102574	72.21%	199.46	37496253	36899691	37144259	273804	35556	42634	0.70%	0.00%	1.41	0.00%	1.49	4510287	4.17%	32342	0.03%	73354	0.07%	25387552	23.47%	53960	0.05%	0	0.00%
Aug 16 00:39:04	Aug 16 00:47:15	Aug 16 01:59:12	84.28	101060363	202	85118390	84.23%	199.34	63325152	62672531	62701317	501772	53902	68161	0.69%	0.00%	1.50	0.00%	1.55	5486870	5.43%	21641	0.02%	82614	0.08%	10338207	10.23%	12641	0.01%	0	0.00%
Aug 15 23:27:07	Aug 15 23:35:43	Aug 16 00:36:12	94.32	95080736	202	82740406	87.02%	199.44	53722508	53092192	53280025	347283	51229	43971	0.69%	0.01%	1.61	0.01%	1.48	4988994	5.25%	19097	0.02%	52733	0.06%	7270980	7.65%	8526	0.01%	0	0.00%
Aug 15 18:51:04	Aug 15 19:08:35	Aug 15 19:08:38	0.00	0	0	0	0.00%	0.00	0	0	0	0	0	0	-nan%	0.00%	0.00	0.00%	0.00	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%	0	0.00%
Aug 15 21:27:46	Aug 15 21:39:56	Aug 15 22:22:36	76.62	54483614	202	39444849	72.40%	199.53	22810963	22509039	22588339	181532	20858	20234	0.55%	0.01%	1.51	0.01%	1.52	2310424	4.24%	13084	0.02%	39857	0.07%	12656134	23.23%	19266	0.04%	0	0.00%
Aug 16 00:35:50	Aug 16 00:44:00	Aug 16 02:01:16	80.21	103290923	202	83490046	80.83%	195.60	61990367	61343647	61421303	446284	62992	59788	1.02%	0.01%	1.63	0.00%	1.47	5572359	5.39%	22516	0.02%	195525	0.19%	13995309	13.55%	15168	0.01%	0	0.00%
Aug 16 00:12:18	Aug 16 00:20:27	Aug 16 01:45:40	82.25	116815042	202	98855836	84.63%	195.76	67311721	66487480	66717328	473475	61583	59335	0.97%	0.00%	1.47	0.00%	1.53	4973697	4.26%	45682	0.04%	255667	0.22%	12659778	10.84%	24382	0.02%	0	0.00%
Aug 15 22:08:40	Aug 15 22:17:11	Aug 15 23:22:05	84.14	91010379	202	71236872	78.27%	195.74	46985157	46404646	46607598	299194	34166	44199	0.98%	0.00%	1.54	0.01%	1.61	3863461	4.25%	24785	0.03%	172788	0.19%	15697780	17.25%	14693	0.02%	0	0.00%
Aug 16 01:01:11	Aug 16 01:09:47	Aug 16 02:10:41	99.36	100849377	202	91075786	90.31%	200.00	63456747	62653471	62866634	464067	68992	57054	0.45%	0.00%	1.55	0.01%	1.53	4764832	4.72%	34547	0.03%	64234	0.06%	4877166	4.84%	32812	0.03%	0	0.00%
Aug 15 23:52:48	Aug 16 00:02:53	Aug 16 00:49:44	105.80	82612174	202	76428773	92.52%	199.90	50435868	49863154	49977588	364310	47751	46219	0.56%	0.01%	1.72	0.01%	1.58	2212342	2.68%	32367	0.04%	19900	0.02%	3894256	4.71%	24536	0.03%	0	0.00%
Aug 15 23:43:24	Aug 15 23:50:53	Aug 16 01:25:55	82.52	130696026	202	108644797	83.13%	195.67	70325538	68954705	69688380	503583	71291	62284	1.00%	0.01%	1.51	0.01%	1.62	5609988	4.29%	47088	0.04%	384063	0.29%	15986863	12.23%	23227	0.02%	0	0.00%
Aug 15 21:52:13	Aug 15 22:01:37	Aug 15 23:05:24	71.80	76328731	202	48418567	63.43%	199.30	32172822	31879916	31858421	255459	32452	26490	0.71%	0.00%	1.55	0.01%	1.53	3144635	4.12%	8762	0.01%	41273	0.05%	24710703	32.37%	4791	0.01%	0	0.00%
Aug 15 22:13:12	Aug 15 22:21:20	Aug 15 23:11:11	104.71	86994693	202	79643027	91.55%	200.06	50137920	49470041	49680576	360829	56546	39969	0.52%	0.01%	1.71	0.01%	1.56	2783730	3.20%	26368	0.03%	23039	0.03%	4505041	5.18%	13488	0.02%	0	0.00%
Aug 15 22:47:39	Aug 15 22:56:10	Aug 16 00:04:51	85.70	98098264	202	79878988	81.43%	195.74	53087122	52200148	52595628	401042	46045	44407	0.99%	0.00%	1.48	0.00%	1.58	3714680	3.79%	38267	0.04%	235699	0.24%	14211977	14.49%	18653	0.02%	0	0.00%
Aug 16 01:23:33	Aug 16 01:32:10	Aug 16 02:44:27	86.64	104382688	202	88219942	84.52%	195.75	52172127	51639692	51665094	413520	47527	45986	0.96%	0.00%	1.43	0.00%	1.54	4383123	4.20%	21471	0.02%	196842	0.19%	11537101	11.05%	24209	0.02%	0	0.00%
Aug 15 21:41:51	Aug 15 21:52:00	Aug 15 22:44:35	82.02	71881825	202	57533837	80.04%	199.02	38803773	38460759	38518525	205154	28253	51841	0.72%	0.01%	1.70	0.01%	1.81	2764200	3.85%	13347	0.02%	30850	0.04%	11533101	16.04%	6490	0.01%	0	0.00%
