Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	Number of reads unmapped: too many mismatches	% of reads unmapped: too many mismatches	Number of reads unmapped: too short	% of reads unmapped: too short	Number of reads unmapped: other	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
Jul 30 15:39:25	Jul 30 15:55:09	Jul 30 16:41:36	68.92	53357820	200	44108248	82.67%	198.27	9880113	9584571	9781165	77352	7397	14199	0.36%	0.01%	1.35	0.01%	1.59	7529344	14.11%	114091	0.21%	96587	0.18%	1469490	2.75%	40060	0.08%	0	0.00%
Jul 30 17:36:54	Jul 30 17:52:31	Jul 30 18:29:23	72.27	44407987	200	36819246	82.91%	198.48	8874266	8606083	8785065	72542	6955	9704	0.41%	0.01%	1.34	0.01%	1.62	6018221	13.55%	90759	0.20%	56732	0.13%	1407472	3.17%	15557	0.04%	0	0.00%
Jul 30 16:58:51	Jul 30 17:14:39	Jul 30 17:44:10	86.40	42502748	200	36442901	85.74%	198.41	9633359	9313703	9544390	73125	6349	9495	0.41%	0.01%	1.34	0.01%	1.57	4745577	11.17%	95921	0.23%	70217	0.17%	1131079	2.66%	17053	0.04%	0	0.00%
Jul 30 15:53:10	Jul 30 16:08:09	Jul 30 16:59:41	62.39	53588374	200	42469824	79.25%	198.39	12462919	12167127	12345975	94400	10047	12497	0.39%	0.01%	1.30	0.01%	1.57	9202269	17.17%	90728	0.17%	58079	0.11%	1746754	3.26%	20720	0.04%	0	0.00%
Jul 30 15:18:28	Jul 30 15:34:52	Jul 30 15:52:32	98.72	29067734	200	25090120	86.32%	197.87	7052145	6918355	6987048	53551	5674	5872	0.35%	0.01%	1.35	0.01%	1.56	3064647	10.54%	67633	0.23%	23439	0.08%	806382	2.77%	15513	0.05%	0	0.00%
Jul 30 18:22:50	Jul 30 18:38:04	Jul 30 19:28:13	75.18	62837040	200	53106030	84.51%	198.64	11769736	11512537	11656860	91073	9510	12293	0.37%	0.01%	1.40	0.01%	1.58	7171390	11.41%	79995	0.13%	55922	0.09%	2390529	3.80%	33174	0.05%	0	0.00%
Jul 30 15:27:35	Jul 30 15:43:27	Jul 30 16:22:44	66.69	43662437	200	35547478	81.41%	198.69	7038266	6822621	6966437	56801	5627	9401	0.36%	0.01%	1.35	0.01%	1.68	6381488	14.62%	79782	0.18%	72263	0.17%	1548097	3.55%	33329	0.08%	0	0.00%
Jul 30 14:23:04	Jul 30 14:39:13	Jul 30 15:04:10	85.50	35553043	200	30241897	85.06%	198.64	7848163	7668283	7776953	58366	5843	7001	0.38%	0.01%	1.40	0.01%	1.61	3946858	11.10%	65953	0.19%	46309	0.13%	1234719	3.47%	17307	0.05%	0	0.00%
Jul 30 19:04:16	Jul 30 19:19:48	Jul 30 19:58:18	83.56	53617565	200	45754081	85.33%	198.45	10426457	10177583	10322910	83209	9085	11253	0.35%	0.01%	1.33	0.01%	1.49	6060894	11.30%	142554	0.27%	120296	0.22%	1506747	2.81%	32993	0.06%	0	0.00%
Jul 30 18:55:23	Jul 30 19:06:04	Jul 30 20:32:45	68.72	99285535	150	54765396	55.16%	137.82	19162595	18824811	18984550	117801	11434	48810	0.90%	0.01%	1.24	0.01%	1.24	7190794	7.24%	90236	0.09%	98791	0.10%	37130884	37.40%	9434	0.01%	0	0.00%
Jul 30 19:59:40	Jul 30 20:09:20	Jul 30 21:42:14	87.03	134744866	150	82430592	61.18%	143.08	14036220	13489002	13849188	160735	7700	18597	0.69%	0.01%	1.35	0.01%	1.27	7068718	5.25%	126192	0.09%	125929	0.09%	44834822	33.27%	158613	0.12%	0	0.00%
Jul 30 19:42:25	Jul 30 19:51:50	Jul 30 21:23:25	82.85	126461671	150	80789291	63.88%	140.77	23534144	22778172	23316999	169452	10818	36875	0.88%	0.01%	1.31	0.01%	1.28	5296871	4.19%	81440	0.06%	125171	0.10%	40150087	31.75%	18811	0.01%	0	0.00%
Jul 30 18:54:44	Jul 30 19:02:01	Jul 30 21:40:18	63.87	168479912	150	87639723	52.02%	136.75	25321086	24535902	25131096	153170	11369	25451	0.82%	0.01%	1.25	0.01%	1.22	17077171	10.14%	108776	0.06%	150019	0.09%	63482135	37.68%	22088	0.01%	0	0.00%
Jul 30 18:41:29	Jul 30 18:51:07	Jul 30 20:21:31	74.62	112427576	150	61423156	54.63%	138.85	18233873	17680896	18070518	133638	9038	20679	0.85%	0.01%	1.28	0.01%	1.25	6253749	5.56%	38201	0.03%	74340	0.07%	44625709	39.69%	12421	0.01%	0	0.00%
Jul 30 17:34:09	Jul 30 17:44:23	Jul 30 19:27:36	67.68	116421953	150	59523342	51.13%	137.82	14752766	13971901	14620339	100769	6205	25453	0.82%	0.01%	1.26	0.01%	1.27	13586795	11.67%	43406	0.04%	104140	0.09%	43151747	37.06%	12523	0.01%	0	0.00%
Jul 30 17:10:12	Jul 30 17:21:07	Jul 30 18:56:39	70.64	112467586	150	60483536	53.78%	140.26	15924505	15236284	15777700	115085	8701	23019	0.67%	0.01%	1.28	0.01%	1.27	12359889	10.99%	56527	0.05%	93197	0.08%	39418537	35.05%	55900	0.05%	0	0.00%
Jul 30 16:56:20	Jul 30 17:06:46	Jul 30 18:28:06	77.96	105673137	150	61533488	58.23%	138.34	18818064	18418253	18666947	119110	9226	22781	0.94%	0.01%	1.28	0.01%	1.24	4523334	4.28%	105843	0.10%	116141	0.11%	39377246	37.26%	17085	0.02%	0	0.00%
Jul 30 21:07:55	Jul 30 21:17:38	Jul 30 22:38:41	76.92	103910485	150	62109048	59.77%	139.94	18968899	18292077	18815339	124673	8727	20160	1.01%	0.01%	1.26	0.01%	1.25	5092837	4.90%	49447	0.05%	124630	0.12%	36521843	35.15%	12680	0.01%	0	0.00%
Jul 30 21:04:11	Jul 30 21:12:20	Jul 30 23:13:02	88.36	177754402	150	112622457	63.36%	140.57	32432528	31414701	32045298	281141	20331	85758	0.46%	0.02%	1.37	0.01%	1.31	19134491	10.76%	83903	0.05%	39527	0.02%	43451474	24.44%	2422550	1.36%	0	0.00%
Jul 30 16:48:17	Jul 30 16:58:11	Jul 30 18:32:20	74.65	117133723	150	63437737	54.16%	138.42	18141996	17579067	17966108	136986	9098	29804	0.89%	0.01%	1.27	0.01%	1.26	5468654	4.67%	86553	0.07%	110931	0.09%	48012675	40.99%	17173	0.01%	0	0.00%
Jul 30 18:02:45	Jul 30 18:12:32	Jul 30 19:46:33	77.38	121255784	150	67205154	55.42%	139.75	16077699	15355199	15902054	145474	8090	22081	0.85%	0.01%	1.27	0.01%	1.26	6402254	5.28%	55090	0.05%	107118	0.09%	47465095	39.14%	21073	0.02%	0	0.00%
